Datetime,Month,Average Fish Weight (g),Survival Rate (%),Disease Occurrence (Cases),Temperature (°C),Dissolved Oxygen (mg/L),pH,Turbidity (NTU),Month_Num,month_x,Oxygenation Interventions,Corrective Interventions,Average Temperature (°C),High Temperature (°C),Low Temperature (°C),Precipitation (inches),month_y,day,hour,oxigeno_scaled,ph,turbidez,Oxygenation Automatic,Corrective Measures,Thermal Risk Index,Low Oxygen Alert,Health Status
45351.20833333334,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,1,5,7.986533992645752,0.4532760641840371,0.01288353844440699,No,No,High,Safe,At Risk
45351.25,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,1,0,29.1,33.9,24.1,0.73,3,1.052631578947368,4.736842105263158,7.982755219833141,0.4503094659475864,0.01093791725134705,Yes,No,High,Safe,At Risk
45351.29166666666,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,1.105263157894737,4.473684210526316,7.978976447020531,0.4473428677111358,0.008992296058287113,No,No,High,Safe,At Risk
45351.33333333334,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,1.157894736842105,4.210526315789473,7.97519767420792,0.4443762694746851,0.007046674865227176,Yes,No,High,Safe,At Risk
45351.375,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,1,29.1,33.9,24.1,0.73,3,1.210526315789474,3.947368421052632,7.971418901395309,0.4414096712382345,0.005101053672167237,No,No,High,Safe,At Risk
45351.41666666666,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,1,0,29.1,33.9,24.1,0.73,3,1.263157894736842,3.684210526315789,7.967640128582699,0.4384430730017838,0.003155432479107299,Yes,No,High,Safe,At Risk
45351.45833333334,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,1.315789473684211,3.421052631578947,7.963861355770089,0.4354764747653332,0.001209811286047361,No,No,High,Safe,At Risk
45351.5,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,1.368421052631579,3.157894736842105,7.960082582957479,0.4325098765288825,-0.0007358099070125784,Yes,No,High,Safe,At Risk
45351.54166666666,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,1.421052631578947,2.894736842105263,7.956303810144868,0.4295432782924319,-0.002681431100072516,No,No,High,Safe,At Risk
45351.58333333334,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,1.473684210526316,2.631578947368421,7.952525037332257,0.4265766800559812,-0.004627052293132455,Yes,No,High,Safe,At Risk
45351.625,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,1,29.1,33.9,24.1,0.73,3,1.526315789473684,2.368421052631579,7.948746264519647,0.4236100818195306,-0.006572673486192393,No,No,High,Safe,At Risk
45351.66666666666,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,1.578947368421053,2.105263157894737,7.944967491707036,0.4206434835830799,-0.008518294679252331,Yes,No,High,Safe,At Risk
45351.70833333334,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,1.631578947368421,1.842105263157895,7.941188718894425,0.4176768853466293,-0.01046391587231227,No,No,High,Safe,At Risk
45351.75,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,1.684210526315789,1.578947368421053,7.937409946081815,0.4147102871101786,-0.01240953706537221,Yes,No,High,Safe,At Risk
45351.79166666666,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,1.736842105263158,1.315789473684211,7.933631173269204,0.411743688873728,-0.01435515825843215,No,No,High,Safe,At Risk
45351.83333333334,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,1,29.1,33.9,24.1,0.73,3,1.789473684210526,1.052631578947369,7.929852400456594,0.4087770906372773,-0.01630077945149208,Yes,No,High,Safe,At Risk
45351.875,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,1.842105263157895,0.7894736842105265,7.926073627643984,0.4058104924008267,-0.01824640064455202,No,No,High,Safe,At Risk
45351.91666666666,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,1.894736842105263,0.5263157894736841,7.922294854831373,0.402843894164376,-0.02019202183761196,Yes,No,High,Safe,At Risk
45351.95833333334,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,1.947368421052631,0.2631578947368425,7.918516082018763,0.3998772959279254,-0.0221376430306719,No,No,High,Safe,At Risk
45352,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,1,29.1,33.9,24.1,0.73,3,2,0,7.914737309206152,0.3969106976914747,-0.02408326422373184,Yes,No,High,Safe,At Risk
45352.04166666666,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,2,1,8.25348852638073,0.3355408699322193,0.1715312962914212,No,No,High,Safe,At Risk
45352.08333333334,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,2,2,7.811380042052608,0.9434934365830765,0.01198089645091224,Yes,No,High,Safe,At Risk
45352.125,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,2,3,8.118149402211975,0.4553756631361207,0.03292063066718316,No,No,High,Safe,At Risk
45352.16666666666,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,2,4,8.472471299805285,0.3166762052880871,0.9526394486638248,Yes,No,High,Safe,At Risk
45352.20833333334,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,1,0,29.1,33.9,24.1,0.73,3,2,5,8.051548618804027,0.3752136669209951,-0.01499049470090495,No,No,High,Safe,At Risk
45352.25,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,2.052631578947369,4.736842105263158,8.04639282850977,0.3762606847895543,-0.01568501072743609,Yes,No,High,Safe,At Risk
45352.29166666666,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,2.105263157894737,4.473684210526316,8.041237038215515,0.3773077026581135,-0.01637952675396722,No,No,High,Safe,At Risk
45352.33333333334,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,2.157894736842105,4.210526315789473,8.036081247921258,0.3783547205266726,-0.01707404278049835,Yes,No,High,Safe,At Risk
45352.375,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,2.210526315789473,3.947368421052632,8.030925457627001,0.3794017383952318,-0.01776855880702949,No,No,High,Safe,At Risk
45352.41666666666,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,1,29.1,33.9,24.1,0.73,3,2.263157894736842,3.684210526315789,8.025769667332746,0.380448756263791,-0.01846307483356062,Yes,No,High,Safe,At Risk
45352.45833333334,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,2.315789473684211,3.421052631578947,8.020613877038489,0.3814957741323502,-0.01915759086009176,No,No,High,Safe,At Risk
45352.5,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,2.368421052631579,3.157894736842105,8.015458086744232,0.3825427920009093,-0.01985210688662289,Yes,No,High,Safe,At Risk
45352.54166666666,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,2.421052631578947,2.894736842105263,8.010302296449977,0.3835898098694686,-0.02054662291315403,No,No,High,Safe,At Risk
45352.58333333334,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,1,0,29.1,33.9,24.1,0.73,3,2.473684210526316,2.631578947368421,8.00514650615572,0.3846368277380277,-0.02124113893968516,Yes,No,High,Safe,At Risk
45352.625,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,2.526315789473684,2.368421052631579,7.999990715861463,0.3856838456065869,-0.02193565496621629,No,No,High,Safe,At Risk
45352.66666666666,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,2.578947368421053,2.105263157894737,7.994834925567207,0.3867308634751461,-0.02263017099274743,Yes,No,High,Safe,At Risk
45352.70833333334,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,1,1,29.1,33.9,24.1,0.73,3,2.631578947368421,1.842105263157895,7.989679135272951,0.3877778813437053,-0.02332468701927856,No,No,High,Safe,At Risk
45352.75,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,2.684210526315789,1.578947368421053,7.984523344978694,0.3888248992122644,-0.0240192030458097,Yes,No,High,Safe,At Risk
45352.79166666666,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,2.736842105263158,1.315789473684211,7.979367554684438,0.3898719170808236,-0.02471371907234083,No,No,High,Safe,At Risk
45352.83333333334,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,1,0,29.1,33.9,24.1,0.73,3,2.789473684210527,1.052631578947369,7.974211764390181,0.3909189349493828,-0.02540823509887196,Yes,No,High,Safe,At Risk
45352.875,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,2.842105263157895,0.7894736842105265,7.969055974095925,0.391965952817942,-0.0261027511254031,No,No,High,Safe,At Risk
45352.91666666666,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,2.894736842105263,0.5263157894736841,7.963900183801669,0.3930129706865012,-0.02679726715193423,Yes,No,High,Safe,At Risk
45352.95833333334,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,1,0,29.1,33.9,24.1,0.73,3,2.947368421052631,0.2631578947368425,7.958744393507412,0.3940599885550603,-0.02749178317846537,No,No,High,Safe,At Risk
45353,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,3,0,7.953588603213156,0.3951070064236195,-0.0281862992049965,Yes,No,High,Safe,At Risk
45353.04166666666,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,3,1,8.30870324605913,0.9883036199333961,0.009598168048082547,No,No,High,Safe,At Risk
45353.08333333334,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,3,2,7.710798492090019,1.023094509386472,-0.006624575449136266,Yes,No,High,Safe,At Risk
45353.125,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,1,0,29.1,33.9,24.1,0.73,3,3,3,8.113087534375808,0.2308033455500237,0.9744016499499468,No,No,High,Safe,At Risk
45353.16666666666,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,3,4,8.219171819590896,0.3062466071565085,0.9674099195522154,Yes,No,High,Safe,At Risk
45353.20833333334,March,286.5,96.3,1,28.35,7.89,7.97,2.79,3,3,0,0,29.1,33.9,24.1,0.73,3,3,5,8.446580347267288,0.3411480439606296,0.005749327822521575,No,No,High,Safe,At Risk
